City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
178,Oistins,BB,13.0667,-59.5333,82.49,83,40,5.75,scattered clouds,2022-09-08 03:12:38
179,Sola,VU,-13.8833,167.55,81.05,73,8,14.18,clear sky,2022-09-08 03:12:38
180,Pionerskiy,RU,54.9508,20.2275,47.75,85,100,7.76,overcast clouds,2022-09-08 03:07:53
181,Faya,SA,18.3851,42.4509,63.12,32,3,5.46,clear sky,2022-09-08 03:12:39
182,Freeport,US,40.6576,-73.5832,71.26,74,100,8.05,overcast clouds,2022-09-08 03:12:39
183,Faanui,PF,-16.4833,-151.75,78.13,75,9,20.07,clear sky,2022-09-08 03:12:39
184,Okhotsk,RU,59.3833,143.3,52.3,94,100,12.91,moderate rain,2022-09-08 03:13:39
185,Canto Do Buriti,BR,-8.11,-42.9444,76.37,40,20,9.22,few clouds,2022-09-08 03:13:40
186,Rudbar,AF,30.15,62.6,82.26,16,0,6.08,clear sky,2022-09-08 03:13:40
187,Paripiranga,BR,-10.6875,-37.8617,61.11,95,52,4.03,broken clouds,2022-09-08 03:13:40
188,Sept-Iles,CA,50.2001,-66.3821,54.12,92,40,6.91,scattered clouds,2022-09-08 03:13:40
189,Bhimunipatnam,IN,17.8833,83.4333,80.11,75,100,8.43,overcast clouds,2022-09-08 03:13:41
190,Airai,TL,-8.9266,125.4092,80.24,21,70,3.44,broken clouds,2022-09-08 03:13:41
191,Upernavik,GL,72.7868,-56.1549,38.37,74,97,5.14,overcast clouds,2022-09-08 03:13:41
192,Isetskoye,RU,56.4858,65.3226,43.93,82,22,9.55,few clouds,2022-09-08 03:13:41
193,Urengoy,RU,65.9667,78.3667,36.05,74,55,14.43,broken clouds,2022-09-08 03:13:42
194,Huttwil,CH,47.115,7.8621,59.59,96,100,12.15,moderate rain,2022-09-08 03:13:42
195,Sitka,US,57.0531,-135.33,58.89,77,40,6.91,scattered clouds,2022-09-08 03:13:42
196,Manokwari,ID,-0.8667,134.0833,83.21,66,100,5.06,overcast clouds,2022-09-08 03:13:42
197,Manitowoc,US,44.0667,-87.8001,68.56,86,0,0.0,clear sky,2022-09-08 03:13:43
198,Cidreira,BR,-30.1811,-50.2056,60.28,90,0,4.92,clear sky,2022-09-08 03:11:16
199,Hodmezovasarhely,HU,46.4167,20.3333,66.18,62,99,7.78,overcast clouds,2022-09-08 03:13:43
200,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,1.01,light rain,2022-09-08 03:13:43
201,Otradnoye,RU,59.7775,30.8181,45.95,96,49,4.43,scattered clouds,2022-09-08 03:13:43
202,Duku,NG,11.2361,4.9073,70.14,95,94,3.18,overcast clouds,2022-09-08 03:13:44
203,Omsukchan,RU,62.5333,155.8,41.77,87,100,9.4,overcast clouds,2022-09-08 03:13:44
204,Birao,CF,10.2849,22.7882,69.49,98,100,5.86,moderate rain,2022-09-08 03:13:44
205,Meulaboh,ID,4.1363,96.1285,81.84,65,100,1.79,overcast clouds,2022-09-08 03:13:45
206,Paragould,US,36.0584,-90.4973,75.02,87,44,8.72,scattered clouds,2022-09-08 03:10:58
207,Devrek,TR,41.2192,31.9558,53.33,92,0,3.83,clear sky,2022-09-08 03:13:45
208,Panjab,AF,34.388,67.0233,59.36,26,0,3.47,clear sky,2022-09-08 03:13:45
